Monitoring imports on 159 and 184...
184 import will be monitored after export PID 3193137 finishes.
[11:50:27] 159: running=True, files_left=37
[11:50:29] 184: running=True, files_left=566
[11:52:30] 159: running=True, files_left=31
[11:52:31] 184: running=True, files_left=563
[11:54:32] 159: running=True, files_left=25
[11:54:33] 184: running=True, files_left=559
[11:56:35] 159: running=True, files_left=19
[11:56:36] 184: running=True, files_left=554
[11:58:37] 159: running=True, files_left=13
[11:58:38] 184: running=True, files_left=551
[12:00:39] 159: running=True, files_left=6
[12:00:41] 184: running=True, files_left=548
[12:02:42] 159: running=False, files_left=0
Email sent: Splunk import on 159 (132.72.80.159) COMPLETED
[12:02:43] 184: running=True, files_left=545
[12:04:44] 184: running=True, files_left=541
[12:06:46] 184: running=True, files_left=538
[12:08:47] 184: running=True, files_left=535
[12:10:48] 184: running=True, files_left=532
[12:12:49] 184: running=True, files_left=527
[12:14:51] 184: running=True, files_left=524
[12:16:52] 184: running=True, files_left=521
[12:18:53] 184: running=True, files_left=517
[12:20:55] 184: running=True, files_left=506
[12:22:56] 184: running=True, files_left=497
[12:24:57] 184: running=True, files_left=493
[12:26:58] 184: running=True, files_left=490
[12:29:00] 184: running=True, files_left=487
[12:31:01] 184: running=True, files_left=481
[12:33:02] 184: running=True, files_left=478
[12:35:03] 184: running=True, files_left=475
[12:37:04] 184: running=True, files_left=472
[12:39:06] 184: running=True, files_left=469
[12:41:07] 184: running=True, files_left=464
[12:43:08] 184: running=True, files_left=461
[12:45:09] 184: running=True, files_left=458
[12:47:11] 184: running=True, files_left=453
[12:49:12] 184: running=True, files_left=450
[12:51:13] 184: running=True, files_left=446
[12:53:14] 184: running=True, files_left=441
[12:55:16] 184: running=True, files_left=433
[12:57:17] 184: running=True, files_left=425
[12:59:18] 184: running=True, files_left=422
[13:01:20] 184: running=True, files_left=419
[13:03:21] 184: running=True, files_left=415
[13:05:22] 184: running=True, files_left=411
[13:07:23] 184: running=True, files_left=407
[13:09:25] 184: running=True, files_left=404
[13:11:26] 184: running=True, files_left=400
[13:13:27] 184: running=True, files_left=397
[13:15:28] 184: running=True, files_left=392
[13:17:30] 184: running=True, files_left=389
[13:19:31] 184: running=True, files_left=386
[13:21:32] 184: running=True, files_left=383
[13:23:33] 184: running=True, files_left=380
[13:25:35] 184: running=True, files_left=377
[13:27:36] 184: running=True, files_left=373
[13:29:37] 184: running=True, files_left=370
[13:31:38] 184: running=True, files_left=367
[13:33:40] 184: running=True, files_left=364
[13:35:41] 184: running=True, files_left=359
[13:37:42] 184: running=True, files_left=357
[13:39:43] 184: running=True, files_left=353
[13:41:45] 184: running=True, files_left=349
[13:43:46] 184: running=True, files_left=347
[13:45:47] 184: running=True, files_left=342
[13:47:48] 184: running=True, files_left=337
[13:49:50] 184: running=True, files_left=331
[13:51:51] 184: running=True, files_left=327
[13:53:52] 184: running=True, files_left=324
[13:55:54] 184: running=True, files_left=320
[13:57:55] 184: running=True, files_left=317
[13:59:56] 184: running=True, files_left=314
[14:01:57] 184: running=True, files_left=311
[14:03:59] 184: running=True, files_left=306
[14:06:00] 184: running=True, files_left=303
[14:08:01] 184: running=True, files_left=300
[14:10:02] 184: running=True, files_left=296
[14:12:04] 184: running=True, files_left=291
[14:14:05] 184: running=True, files_left=286
[14:16:06] 184: running=True, files_left=281
  Error checking 132.72.81.184: No existing session
[14:22:06] 184: running=True, files_left=?
[14:24:07] 184: running=True, files_left=264
[14:26:13] 184: running=True, files_left=258
[14:28:53] 184: running=True, files_left=250
[14:30:55] 184: running=True, files_left=247
[14:32:56] 184: running=True, files_left=242
[14:34:57] 184: running=True, files_left=238
[14:36:58] 184: running=True, files_left=235
[14:39:00] 184: running=True, files_left=230
[14:41:01] 184: running=True, files_left=227
[14:43:02] 184: running=True, files_left=224
[14:45:03] 184: running=True, files_left=220
[14:47:05] 184: running=True, files_left=215
[14:49:06] 184: running=True, files_left=211
[14:51:07] 184: running=True, files_left=208
[14:53:08] 184: running=True, files_left=205
[14:55:10] 184: running=True, files_left=201
[14:57:11] 184: running=True, files_left=198
[14:59:12] 184: running=True, files_left=195
[15:01:13] 184: running=True, files_left=192
[15:03:15] 184: running=True, files_left=187
[15:05:16] 184: running=True, files_left=181
[15:07:17] 184: running=True, files_left=175
[15:09:18] 184: running=True, files_left=172
[15:11:20] 184: running=True, files_left=169
[15:13:21] 184: running=True, files_left=163
[15:15:22] 184: running=True, files_left=161
[15:17:23] 184: running=True, files_left=158
[15:19:25] 184: running=True, files_left=153
[15:21:26] 184: running=True, files_left=150
